,experiment,prep_date,neuron,firing_rate,timing,group,culture_ID
72,with-metal-disc,27-01-2023,28,0.0,1st,stim,3-1-1
73,with-metal-disc,27-01-2023,29,0.0,1st,stim,3-1-1
74,with-metal-disc,27-01-2023,31,0.025,1st,stim,3-1-1
75,with-metal-disc,27-01-2023,32,0.025,1st,stim,3-1-1
76,with-metal-disc,27-01-2023,33,0.008333333333333333,1st,stim,3-1-1
77,with-metal-disc,27-01-2023,35,0.0,1st,stim,3-1-1
78,with-metal-disc,27-01-2023,36,0.025,1st,stim,3-1-1
79,with-metal-disc,27-01-2023,37,0.008333333333333333,1st,stim,3-1-1
80,with-metal-disc,27-01-2023,40,0.008333333333333333,1st,stim,3-1-1
81,with-metal-disc,27-01-2023,41,0.008333333333333333,1st,stim,3-1-1
82,with-metal-disc,27-01-2023,42,0.025,1st,stim,3-1-1
83,with-metal-disc,27-01-2023,43,0.016666666666666666,1st,stim,3-1-1
84,with-metal-disc,27-01-2023,44,0.025,1st,stim,3-1-1
85,with-metal-disc,27-01-2023,45,0.016666666666666666,1st,stim,3-1-1
86,with-metal-disc,27-01-2023,46,0.016666666666666666,1st,stim,3-1-1
87,with-metal-disc,27-01-2023,47,0.016666666666666666,1st,stim,3-1-1
88,with-metal-disc,27-01-2023,49,0.025,1st,stim,3-1-1
89,with-metal-disc,27-01-2023,50,0.025,1st,stim,3-1-1
90,with-metal-disc,27-01-2023,51,0.025,1st,stim,3-1-1
91,with-metal-disc,27-01-2023,52,0.008333333333333333,1st,stim,3-1-1
92,with-metal-disc,27-01-2023,55,0.025,1st,stim,3-1-1
93,with-metal-disc,27-01-2023,56,0.016666666666666666,1st,stim,3-1-1
94,with-metal-disc,27-01-2023,57,0.016666666666666666,1st,stim,3-1-1
95,with-metal-disc,27-01-2023,58,0.025,1st,stim,3-1-1
96,with-metal-disc,27-01-2023,59,0.016666666666666666,1st,stim,3-1-1
97,with-metal-disc,27-01-2023,61,0.025,1st,stim,3-1-1
98,with-metal-disc,27-01-2023,62,0.025,1st,stim,3-1-1
99,with-metal-disc,27-01-2023,63,0.025,1st,stim,3-1-1
100,with-metal-disc,27-01-2023,64,0.016666666666666666,1st,stim,3-1-1
101,with-metal-disc,27-01-2023,65,0.025,1st,stim,3-1-1
102,with-metal-disc,27-01-2023,66,0.025,1st,stim,3-1-1
103,with-metal-disc,27-01-2023,67,0.03333333333333333,1st,stim,3-1-1
104,with-metal-disc,27-01-2023,1,0.0375,2nd,stim,3-1-1
105,with-metal-disc,27-01-2023,2,0.0375,2nd,stim,3-1-1
106,with-metal-disc,27-01-2023,5,0.0375,2nd,stim,3-1-1
107,with-metal-disc,27-01-2023,8,0.041666666666666664,2nd,stim,3-1-1
108,with-metal-disc,27-01-2023,9,0.0375,2nd,stim,3-1-1
109,with-metal-disc,27-01-2023,10,0.0375,2nd,stim,3-1-1
110,with-metal-disc,27-01-2023,12,0.0375,2nd,stim,3-1-1
111,with-metal-disc,27-01-2023,13,0.0375,2nd,stim,3-1-1
112,with-metal-disc,27-01-2023,14,0.0375,2nd,stim,3-1-1
113,with-metal-disc,27-01-2023,15,0.0375,2nd,stim,3-1-1
114,with-metal-disc,27-01-2023,17,0.0375,2nd,stim,3-1-1
115,with-metal-disc,27-01-2023,18,0.0375,2nd,stim,3-1-1
116,with-metal-disc,27-01-2023,19,0.0375,2nd,stim,3-1-1
117,with-metal-disc,27-01-2023,20,0.0375,2nd,stim,3-1-1
118,with-metal-disc,27-01-2023,21,0.029166666666666667,2nd,stim,3-1-1
119,with-metal-disc,27-01-2023,22,0.0375,2nd,stim,3-1-1
120,with-metal-disc,27-01-2023,23,0.0375,2nd,stim,3-1-1
121,with-metal-disc,27-01-2023,24,0.0375,2nd,stim,3-1-1
122,with-metal-disc,27-01-2023,25,0.0375,2nd,stim,3-1-1
123,with-metal-disc,27-01-2023,26,0.0375,2nd,stim,3-1-1
124,with-metal-disc,27-01-2023,27,0.0375,2nd,stim,3-1-1
125,with-metal-disc,27-01-2023,28,0.0375,2nd,stim,3-1-1
126,with-metal-disc,27-01-2023,29,0.0375,2nd,stim,3-1-1
127,with-metal-disc,27-01-2023,31,0.0375,2nd,stim,3-1-1
128,with-metal-disc,27-01-2023,32,0.0375,2nd,stim,3-1-1
129,with-metal-disc,27-01-2023,33,0.0375,2nd,stim,3-1-1
130,with-metal-disc,27-01-2023,34,0.0375,2nd,stim,3-1-1
131,with-metal-disc,27-01-2023,35,0.0375,2nd,stim,3-1-1
132,with-metal-disc,27-01-2023,36,0.0375,2nd,stim,3-1-1
133,with-metal-disc,27-01-2023,37,0.0375,2nd,stim,3-1-1
134,with-metal-disc,27-01-2023,38,0.0375,2nd,stim,3-1-1
135,with-metal-disc,27-01-2023,39,0.0375,2nd,stim,3-1-1
136,with-metal-disc,27-01-2023,41,0.0375,2nd,stim,3-1-1
137,with-metal-disc,27-01-2023,42,0.0375,2nd,stim,3-1-1
138,with-metal-disc,27-01-2023,43,0.0375,2nd,stim,3-1-1
139,with-metal-disc,27-01-2023,44,0.0375,2nd,stim,3-1-1
140,with-metal-disc,27-01-2023,46,0.0375,2nd,stim,3-1-1
141,with-metal-disc,27-01-2023,48,0.0375,2nd,stim,3-1-1
142,with-metal-disc,27-01-2023,50,0.0375,2nd,stim,3-1-1
143,with-metal-disc,27-01-2023,2,0.008333333333333333,pre,stim,3-1-1
144,with-metal-disc,27-01-2023,3,0.03333333333333333,pre,stim,3-1-1
145,with-metal-disc,27-01-2023,5,0.0,pre,stim,3-1-1
146,with-metal-disc,27-01-2023,6,0.008333333333333333,pre,stim,3-1-1
147,with-metal-disc,27-01-2023,7,0.025,pre,stim,3-1-1
148,with-metal-disc,27-01-2023,8,0.016666666666666666,pre,stim,3-1-1
149,with-metal-disc,27-01-2023,9,0.016666666666666666,pre,stim,3-1-1
150,with-metal-disc,27-01-2023,12,0.008333333333333333,pre,stim,3-1-1
151,with-metal-disc,27-01-2023,15,0.0,pre,stim,3-1-1
152,with-metal-disc,27-01-2023,16,0.008333333333333333,pre,stim,3-1-1
153,with-metal-disc,27-01-2023,17,0.0,pre,stim,3-1-1
154,with-metal-disc,27-01-2023,18,0.025,pre,stim,3-1-1
155,with-metal-disc,27-01-2023,19,0.0,pre,stim,3-1-1
156,with-metal-disc,27-01-2023,20,0.008333333333333333,pre,stim,3-1-1
157,with-metal-disc,27-01-2023,24,0.0,pre,stim,3-1-1
158,with-metal-disc,27-01-2023,26,0.016666666666666666,pre,stim,3-1-1
159,with-metal-disc,27-01-2023,27,0.0,pre,stim,3-1-1
160,with-metal-disc,27-01-2023,28,0.0,pre,stim,3-1-1
161,with-metal-disc,27-01-2023,29,0.008333333333333333,pre,stim,3-1-1
162,with-metal-disc,27-01-2023,30,0.0,pre,stim,3-1-1
163,with-metal-disc,27-01-2023,31,0.025,pre,stim,3-1-1
164,with-metal-disc,27-01-2023,33,0.008333333333333333,pre,stim,3-1-1
165,with-metal-disc,27-01-2023,34,0.025,pre,stim,3-1-1
